Language,Response,Target,Predicted
Supyire,"1. Based on the provided paragraphs from the descriptive grammar of Supyire, it is evident that standard negation in Supyire can be marked by modifications of the verb or by affixes/clitics that are phonologically bound to the verb. Here are the key points supporting this conclusion:

- **Clause Final Negative Particles**: The language uses clause final negative particles such as ""mä"" and ""mi"" which are placed at the end of the clause. These particles are not phonologically bound to the verb, but they are part of the negation strategy in Supyire.

- **Negative Marking in Auxiliary Position**: The language employs negative marking in the auxiliary position, which can involve the addition of the copula ""pye"" before the auxiliary to signal negation early in the clause. For example:
  - ""M)) pye ά yaaga ta mi."" (I didn't get a thing.)
  - ""Wüu pye na jina pää me."" (We don't see (a) jinn.)

- **Low Tone Marking**: For auxiliaries with high tone, negation is marked by introducing a floating low tone that docks onto the auxiliary. This is a clear instance of a phonological modification of the verb to indicate negation. For example:
  - ""Yi si ß-jä ύτύ jyiile mi."" (They won't be able to cross it.)
  - ""U cää ρέε m-pä nähä me."" (It (the bushcat) will not try to come here.)

- **Prohibitive Auxiliary**: The prohibitive auxiliary ""kä"" is marked with a negative low tone, indicating another form of phonological modification for negation.

- **Privative Nominalizer**: The language has a negative affix ""-mbää"" attached to verbs, indicating a privative meaning (without). For example:
  - ""Cedyi wä υ mäha m-pyi pyä bää."" (A certain woman was childless.)

These examples demonstrate that Supyire uses both phonological modifications (such as low tone marking) and affixes (such as ""-mbää"") to mark standard negation, fulfilling the criteria for option 1.

Conclusion: 1",1,1
Jamsay,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Jamsay, it is clear that standard negation in Jamsay can be marked by affixes that are phonologically bound to the verb. Here are the key points supporting this conclusion:

1. **Paragraph 1 (2.2 Inflectable verbs and quasi-verbs)**:
   - The paragraph explicitly states that negation is expressed by verbal suffixation, with distinct negative suffixes for perfective and imperfective verbs.
   - Examples provided include:
     - **bE$rE$-go@-w** (‘be.able-ImpfNeg-2SgS’ meaning ‘You-Sg cannot’)
     - **ya$˘-li@˘-Ø** (‘go-PerfNeg-1PlS’ meaning ‘We did not go’)

2. **Paragraph 2 (10.1.3 Negation of indicative verbs)**:
   - This section further elaborates on the use of negative suffixes for both perfective and imperfective verbs.
   - For perfective verbs, the negative suffix **-li@-** is used.
   - For imperfective verbs, the negative suffix **-go@-** is used.
   - Examples provided include:
     - **ya$˘-li@-Ø** (‘go-PerfNeg-3SgS’ meaning ‘he/she didn’t go’)
     - **E$˘-lu@-m** (‘see-PerfNeg-1SgS’ meaning ‘I didn’t see’)
     - **de$ne$-go@-m** (‘want-ImpfNeg-1SgS’ meaning ‘I don’t want’)
     - **sa$˘-go@-Ø** (‘respond-ImpfNeg-3SgS’ meaning ‘it will not respond’)

These examples clearly show that negation in Jamsay is marked by suffixes that are attached to the verb, indicating that the negation is phonologically bound to the verb.

### Conclusion:
1",1,1
Ma'di,"Based on the provided paragraphs from the descriptive grammar of Ma'di, it is clear that standard negation in Ma'di is marked by sentence-final negation words such as ""kü"" or ""küru"". These negation words are not affixes or clitics that are phonologically bound to the verb, nor do they involve any modification of the verb itself. Instead, they function as separate particles that appear at the end of the sentence.

Here are the key points that support this conclusion:

1. **Negation Words as Separate Particles**: The negation words ""kü"" and ""küru"" are described as sentence-final negation words that are placed at the end of the sentence. They are not bound to the verb but rather follow the verb and other sentence constituents.
   - Example: ""má mû ku"" (IS go NEG(N)) meaning ""I will not go"" or ""I am not going.""

2. **Uninflected Verbs**: The verb in a negated sentence is always uninflected, and the tense is expressed by the choice of the negation word rather than any modification of the verb itself.
   - Example: ""m-awí djotl kü"" (IS-open door NEG(N)) meaning ""I won't open the door"" or ""I don't open doors.""

3. **Negation in Subordinate Clauses**: Even in subordinate clauses, the negation particles ""kü"" and ""küru"" are used in a similar manner, indicating that they are separate particles rather than affixes or clitics.
   - Example: ""indri e-d^i-re küru η"" ([goat (N)-VE-take-SB NEG(P)] DEF) meaning ""Who is it that did not bring a goat?""

Given these points, it is evident that standard negation in Ma'di is not marked by an affix, clitic, or modification of the verb. Instead, it is marked by separate negation particles that are not phonologically bound to the verb.

**Conclusion:** 0",0,0
Bangime,"Based on the provided paragraphs from the descriptive grammar of Bangime, we can analyze the method of standard negation in the language. Here are the key points:

1. **Negative Marker [bíè]**: The negative morpheme [bíè] is used to negate sentences. It can precede a noun, follow a noun, or precede a verb.
2. **Negation with Verbs**: The negative marker precedes the verb in negated clauses. This is explicitly stated in section 14.6: ""The negative marker [bie] precedes the verb just as it does a noun.""
3. **Tonal Effects**: The negative marker affects the tone of the noun it precedes, and there are specific tonal patterns associated with negated clauses.

Given this information, the negative marker [bíè] is used to negate verbs by preceding them, forming a phonological unit with the verb. This qualifies as a method of standard negation involving a phonologically bound element.

### Reasoning:
- The negative marker [bíè] is described as preceding the verb, which means it is phonologically bound to the verb.
- The description does not indicate that [bíè] is a free-standing particle when used with verbs, but rather it forms a unit with the verb it negates.

### Conclusion:
1

",1,1
Gumuz,"Based on the provided paragraphs from the descriptive grammar of Gumuz, we can analyze the method of standard negation as follows:

1. **Paragraph 1:**
   - The paragraph mentions that in both NoG (Northern Gumuz) and parts of SoG (Southern Gumuz, specifically Kamashi), the negative clitic `=(a)ŋg̩ ó` attaches to the end of the conjugated verb.
   - Example (7.76) shows the negative clitic `=ŋgó` attached to the verb form `úú-a-n-tsʼóχó-na` (3PL.TR-RECP-PL-kidnap-LOC), resulting in `úú-a-n-tsʼóχó-na=ŋgó` (they don’t kidnap from each other).

From this information, it is clear that the negative clitic `=(a)ŋg̩ ó` is phonologically bound to the verb, as it attaches directly to the conjugated verb form.

**Reasoning:**
- The negative marker `=(a)ŋg̩ ó` is described as a clitic that attaches to the verb, indicating that it forms a phonological unit with the verb.
- The example provided demonstrates the cliticization of the negative marker to the verb, confirming that standard negation in Gumuz can be marked by a phonologically bound clitic.

**Conclusion:** 1",1,1
Koyra Chiini,"Based on the provided paragraphs from the descriptive grammar of Koyra Chiini, we can analyze the method of standard negation in the language.

### Analysis:

**Paragraph 1:**
- The example (8) shows the sentence structure with negation:
  - ""ay na guna [[huu di] kuna] [boro foo]""
  - Gloss: ""ISgS Neg see [[house Def] Loc] [person one]""
  - Translation: ""I didn't see anyone in the house.""
- Here, ""na"" is identified as the negation marker in the MAN (mood-aspect-negation) position, which is separate from the verb ""guna"" (see).

**Paragraph 2:**
- Example (258c) shows another negation structure:
  - ""yer ma si goro nee""
  - Gloss: ""1PlS Subju Neg sit here""
  - Translation: ""(that) we not sit (=live) here""
- Example (258e) also shows negation:
  - ""ni si yadda ay ma koy ka nan ni""
  - Gloss: ""2SgS ImpfNeg consent ISgS Subju go Inf leave 2SgO""
  - Translation: ""You do not consent that I go leave you.""
- In both examples, ""si"" is used as a negation marker in the context of subjunctive and imperfective negation.

### Reasoning:
- In both paragraphs, the negation markers ""na"" and ""si"" are separate words that occupy specific positions in the sentence structure (MAN position and before the verb, respectively).
- There is no evidence from the provided paragraphs that these negation markers are affixes, clitics, or modifications of the verb itself. They appear to be separate particles that are not phonologically bound to the verb.

### Conclusion:
Given the information from the provided paragraphs, it is not possible to determine that standard negation in Koyra Chiini is marked by an affix, clitic, or modification of the verb. The negation markers appear to be separate particles.

**Conclusion: 0**",0,0
Seme,"Based on the provided paragraphs from the descriptive grammar of Seme, we can analyze the method of standard negation as follows:

1. **Negation Marker**: The negation in Seme is marked by the clause-final particle ""bo"" as shown in example (101):
   ```
   À ri le dì bo.
   3SG FIN food eat.PRFV NEG
   'S/he didn't eat.'
   ```

2. **Position and Use**: The particle ""bo"" is used at the end of the clause to indicate negation. There is no indication that ""bo"" is phonologically bound to the verb ""dì"" or any other word in the clause. It appears to be a separate word (particle) that follows the verb phrase.

3. **Tense Marker Interaction**: The examples in (102) show the interaction of the past tense marker ""ín"" with the negation particle ""bo"". The placement of ""ín"" before or after ""bo"" does not change the fact that ""bo"" remains a separate particle:
   ```
   À ri le dì ín bo.
   3SG FIN food eat.PRFV PST NEG
   'S/he didn't eat (awhile ago).'
   ```

Given the information provided, there is no evidence that the negation marker ""bo"" is an affix, clitic, or involves any modification of the verb. It is consistently described and exemplified as a separate particle that is not phonologically bound to the verb.

**Reasoning**:
- The negation marker ""bo"" is a clause-final particle and not an affix or clitic.
- There is no indication of phonological binding between ""bo"" and the verb.
- The examples provided consistently show ""bo"" as a separate word.

**Conclusion**: 0",0,0
Tima,"Based on the provided paragraphs from the descriptive grammar of Tima, we can determine the method of standard negation in the language.

### Reasoning:

1. **Negation as Verbal Inflection:**
   - Paragraph 1 (2.4.1.3 Negation) mentions that Tima uses two obligatory negative particles: the negative proclitic marker 'kV-' and the negative enclitic marker '-Vŋ'. These markers are described as external to the verb word but are phonologically bound to the verb.
   - Paragraph 2 (4.6.1 Negative declarative) further elaborates that the negative particle 'kV-' is procliticised to the verb, and the negative particle '-Vŋ' is encliticised to the verb or verb phrase. This indicates that these negative markers form a phonological unit with the verb.

2. **Examples of Negation:**
   - The examples provided in Paragraph 2 (4.6.1) show the negative markers attached to the verb:
     - Intransitive clause: `kɨ-n-dɪyana-dʌ-ʌŋ` (NEG-1sg-laugh-1sg-NEG) for ""I did not laugh"".
     - Transitive clause: `kɨ-ŋ-kamah-dʌ it̪uk-ʌŋ` (NEG-Person-eat-1sg porridge-NEG) for ""I did not eat porridge"".
     - Ditransitive clause: `ku-dudu-ii-dʌ t̪amaa d-umurik-ʌŋ` (NEG-show-APPL-1sg speech NC-Tima language-NEG) for ""Hamid does not teach me Tima language"".

3. **Phonological Binding:**
   - The negative markers 'kV-' and '-Vŋ' are described as proclitic and enclitic respectively, indicating that they are phonologically bound to the verb. This is further supported by the examples where these markers are directly attached to the verb forms.

### Conclusion:
1

The standard negation in Tima can be marked by an affix, clitic, or modification of the verb, as evidenced by the negative proclitic 'kV-' and the negative enclitic '-Vŋ' that are phonologically bound to the verb.",1,1
!Xun (Ekoka),"Based on the provided paragraphs from the descriptive grammar of !Xun (Ekoka), we can determine the method of standard negation in the language. Here is the relevant information extracted from the text:

1. **Negation markers are pre-verbal clitics**: The text explicitly states that ""Negation markers are pre-verbal clitics (in case there is a verb)."" This indicates that the negation markers attach to the verb in a phonologically bound manner.

2. **Examples of negation markers**: The examples provided show the negation marker *l6a used in sentences:
   - ""a Iwi saa."" (2SG NEG hear) – ‘You do not hear.’
   - ""mi m kd ki l6a"" (1SG TOP PAST PROG NEG) – ‘He was not coming.’

3. **Cliticization**: The negation markers *l6a and *kora are described as clitics, which means they are phonologically bound to the verb they negate.

Given this information, it is clear that standard negation in !Xun (Ekoka) can be marked by a clitic that is phonologically bound to the verb.

### Reasoning:
- The negation markers in !Xun (Ekoka) are described as pre-verbal clitics, which means they attach to the verb and form a phonological unit with it.
- The examples provided in the text show the negation marker *l6a directly preceding the verb, further supporting the claim that it is bound to the verb.

### Conclusion: 1",1,1
Katcha,"Based on the provided paragraphs, it is not possible to determine the method of standard negation in the language Katcha. The paragraphs given do not contain sufficient information about the negation of dynamic verbal predicates in declarative sentences. They primarily discuss locative adverbs, case markers, and the construction of argument nodes, without addressing how negation is marked on verbs specifically.

1. The first paragraph (118) discusses locative adverbs and their placement in sentences, but it does not provide any information about negation markers or their attachment to verbs.
2. The second paragraph (212) focuses on the role of case markers and adpositions in relation to noun phrases and verbs, but again, it does not mention how negation is marked on verbs.

Without specific information on how negation is marked on verbs in Katcha, it is not possible to determine whether standard negation can be marked by an affix, clitic, or modification of the verb.

Conclusion: 0",0,0
