Language,Response,Target,Predicted
Supyire,"### Reasoning:

Based on the provided paragraphs, the dominant word order in Supyire can be determined by examining the structure of simple declarative sentences, particularly those involving both a subject and a direct object. Here are the key points extracted from the paragraphs:

1. **Paragraph 1**: Discusses the structure of simple clauses and mentions that verbal clauses typically have the order: **SUBJECT – TENSE-ASPECT-MODALITY (TAM) – DIRECT OBJECT – VERB**. This suggests that the direct object precedes the verb.

2. **Paragraph 2**: Provides examples of verbal clauses with various constituents. The example with a direct object is: ""Unmha suroshwoho"" (She HAB mush cook), where ""Unmha"" is the subject, ""suroshwoho"" is the verb, and ""mush"" is the direct object. This follows the pattern **SUBJECT – TAM – DIRECT OBJECT – VERB**.

3. **Paragraph 3**: Reiterates that the basic word order in simple clauses is **subject—predicate**. The subject typically precedes the verb, and the direct object precedes the verb as well.

4. **Paragraph 4**: Mentions that in Supyire, the direct object precedes the verb, but all indirect objects follow it. This further supports the **S – O – V** structure.

5. **Paragraph 7**: Provides an example of a sentence with a serial verb construction: ""Κά ml1 / ιήρά u ni-zini-qi ta... mobfligitaän"" (I came and found him lying beside the car), where the structure is consistent with the subject preceding the verb and the object preceding the verb.

6. **Paragraph 8**: Discusses questioning in serial verb constructions and provides examples where the direct object precedes the verb, such as in ""Jlähä u a lwb a kärd pyenga ye?"" (What did s/he take home?), where ""Jlähä"" (what) is the direct object, ""u"" (s/he) is the subject, and ""a lwb a kärd"" (take home) is the verb phrase.

7. **Paragraph 9**: Discusses grammaticalized verbs in serial constructions but does not contradict the observed **SOV** pattern.

8. **Paragraph 14**: Discusses focus constructions and provides examples where the subject and direct object precede the verb, such as in ""Jö u a kü itbd ye?"" (Who killed it?), where ""Jö"" (who) is the subject, ""u"" (s/he) is the subject pronoun, and ""kü itbd"" (killed it) is the verb phrase.

### Conclusion:
Based on the evidence from the provided paragraphs, the dominant word order in Supyire is **SOV** (Subject-Object-Verb).

**Conclusion: SOV**",sov,sov
Jamsay,"### Reasoning

Based on the provided paragraphs from the descriptive grammar of Jamsay, several key points can be extracted to determine the dominant word order of the language:

1. **Paragraph 1**:
   - It explicitly states that ""The linear order is normally subject-object-verb.""
   - This ordering is common even when the subject is a pronoun.
   - The object is described as the inner (immediately preverbal) argument, and the subject as the outer argument.

2. **Paragraph 2**:
   - The regular ordering pattern in main clauses is described as ""Adv-SNP-X-V,"" where ""SNP"" stands for nonpronominal subject, and ""X"" includes nonpronominal dative, object, and adverbials.
   - Example (14.b) illustrates subject-object-verb ordering with nonpronominal NPs: ""ti -$ ta@˘ jç$Nç@ ko$˘-Ø"" (The hyena ate the hare).

3. **Paragraph 6**:
   - It mentions that ""Most if not all Dogon languages are verb-final, and this is true of Jamsay.""
   - This reinforces the SOV order as a characteristic of Jamsay.

4. **Paragraph 11**:
   - It provides an example of a relative clause with the structure ""place.L 2SgO 1SgS.L see.Perf.HL-Ppl.Nonh,"" which translates to ""the place where I saw you."" This follows the SOV order.

5. **Paragraph 12**:
   - Example (22.b) shows the sentence ""ni N $ i $r<e$ a$nsa@˘ra@-n mi $ E^˘-Ø"" (the day when I saw the white person), which follows the SOV order.

6. **Paragraph 13**:
   - It describes the ""before"" construction, which also follows the SOV order: ""[mi $ de^˘] ma$ [a@ra@ ma$ sa@˘ku$] jE@˘rE@-wE$ le$"" (before my father brings the sack of rice).

7. **Paragraph 14**:
   - It provides examples of relative clauses with the structure ""di ˘$ < u@ mi $ E^˘-Ø"" (the place where I saw you), following the SOV order.

### Conclusion: SOV

The dominant word order in Jamsay is **SOV** (Subject-Object-Verb). This conclusion is supported by multiple explicit statements and examples throughout the provided paragraphs, consistently indicating that the subject precedes the object, which in turn precedes the verb in declarative sentences.",sov,sov
Ma'di,"Based on the provided paragraphs from the descriptive grammar of Ma'di, I will analyze the information to determine the dominant word order.

### Reasoning:

1. **Paragraph 1**:
   - This paragraph mentions that the 'Burulo dialect of Ma'di is SVO, while the Lokai dialect is partly SVO and partly SOV. This indicates that there is some variability in word order across dialects, but SVO is at least a significant pattern.

2. **Paragraph 2**:
   - Example (5) shows the structure ""maeßlpara IS fish N-eat AFF"" which translates to ""I will certainly eat fish."" This suggests an SVO order (Subject-Verb-Object).

3. **Paragraph 3**:
   - This paragraph discusses the possibility of objects being left-dislocated before the verb, which implies that the typical order might be SVO, but objects can be fronted for emphasis or other pragmatic reasons.

4. **Paragraph 13**:
   - Example (1) ""ká gbándá pä 3S cassava N-eat"" translates to ""He is eating cassava,"" which again suggests an SVO order.

5. **Paragraph 14**:
   - It is stated that in the 'Burulo dialect, the object never precedes the inflected verb, reinforcing the SVO order.

6. **Paragraph 17**:
   - This paragraph mentions that Lokai can have object-verb order, but this seems to be a dialectal variation rather than the dominant pattern.

### Conclusion:
Based on the information provided, the dominant word order in Ma'di appears to be **SVO**. This is supported by multiple examples and explicit statements about the word order in different dialects, with SVO being a common pattern.

**Conclusion: SVO**",no dominant order,svo
Bangime,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Bangime, the dominant word order in the language can be determined by examining the frequency and context of the different word orders mentioned.

1. **Paragraph 2**: This paragraph states that the attested word orders in Bangime are SVO, SOV, and OSV for untopicalized sentences. It mentions that incompletive aspects are usually SVO, completive aspects are SOV, and the future can be expressed with OSV word order. This indicates that different word orders are used depending on the tense, aspect, or mood of the phrase.

2. **Paragraph 3**: This paragraph reiterates that the incompletive categories are usually in SOV order, the completed categories are SVO, and the future tense may be either SOV or OSV. It also mentions that some verbs may deviate from the default word order to indicate topicalization.

3. **Paragraph 5**: This paragraph discusses the irrealis mood, which has SVO word order. It also mentions that the incompletive aspects follow the word order S-AUX-O-V, which is a variation of SOV.

4. **Paragraph 6**: This paragraph provides examples of incompletive sentences with SOV word order and mentions that the default word order for an incompletive clause with an object is SOV.

5. **Paragraph 7**: This paragraph provides examples of sentences in the completive aspect with SVO word order and mentions that the verb ‘take’ may only appear with SVO word order in the completive aspect.

6. **Paragraph 9**: This paragraph discusses the subjunctive and imperative moods, which also follow SOV word order.

7. **Paragraph 10**: This paragraph provides examples of sentences in the completive, perfective, and perfect aspects, all of which have SVO word order.

8. **Paragraph 11**: This paragraph reiterates that the perfective aspect is normally formed with SVO word order and provides examples of sentences with SVO word order.

9. **Paragraph 12**: This paragraph discusses the passive construction, which uses OSV word order.

10. **Paragraph 14**: This paragraph discusses the future tense, which can be formed with OSV word order.

11. **Paragraph 19**: This paragraph mentions that in an incompletive clause with an object, the default word order is subject-object-verb (SOV).

### Conclusion:

Based on the information provided, it is clear that Bangime exhibits a high degree of flexibility in its word order, with different orders being used depending on the tense, aspect, or mood of the sentence. The language uses SVO, SOV, and OSV word orders in different contexts, and no single word order appears to be dominant across all contexts. Therefore, the most appropriate classification for Bangime's word order is ""No dominant order.""

**Conclusion: No dominant order**",no dominant order,no dominant order
Gumuz,"### Reasoning:

Based on the provided paragraphs, we can analyze the word order in Gumuz as follows:

1. **Paragraph 1**:
   - This paragraph explicitly mentions that transitive constituent order in Gumuz varies between AVP (SVO) and APV (SOV). It also lists other possible orders such as PVA (OVS), VAP (VSO), and VPA (VOS).
   - Examples provided include:
     - (10.71) AVP (SVO): ""The child rolled the tire.""
     - (10.72) AVP (SVO): ""The donkey ate the grass.""
     - (10.73) APV (SOV): ""He found salt.""
     - (10.74) APV (SOV): ""The woman raised her child.""
     - (10.75) PVA (OVS): ""The fire consumed the house.""
     - (10.76) PVA (OVS): ""The wind broke the tree.""
     - (10.77) VAP (VSO): ""And he took my child.""

2. **Paragraph 9**:
   - This paragraph mentions that the more typical word order in Gumuz main clauses is AVO (SVO).

3. **Paragraph 11**:
   - Example (12.50a) shows AVO (SVO) order: ""The person hit the woman.""

4. **Paragraph 14**:
   - Example (12.51) shows AVO (SVO) order: ""The one who hit the chair is Bamita.""

From the analysis of these paragraphs, it is evident that while Gumuz allows multiple word orders, the SVO (AVP) order appears frequently and is noted as typical in main clauses. This suggests that SVO is the dominant word order in Gumuz.

### Conclusion:
SVO",svo,svo
Koyra Chiini,"Based on the provided paragraphs from the descriptive grammar of Koyra Chiini, the dominant word order can be determined as follows:

1. **Paragraph 2** explicitly states that the basic constituent order is SVO (subject-verb-object). This is further illustrated with examples showing the subject NP followed by the verb and then the object NP.
2. **Paragraph 4** reinforces this by providing examples where the subject NP precedes the verb, and the direct object NP follows the verb.
3. **Paragraph 5** mentions that the distinction between subject and direct object is expressed by constituent order, with subject NPs preceding the verb and direct objects following it.
4. **Paragraph 19** also supports this by stating that Koyra Chiini shows S-MAN-V-X constituent order, where the direct object follows the verb.

These paragraphs consistently describe and exemplify an SVO word order, indicating that this is the dominant word order in Koyra Chiini.

**Reasoning:**
- Multiple paragraphs explicitly describe the SVO order as the basic or typical sentence structure.
- Examples provided in these paragraphs consistently follow the SVO pattern.
- The grammar does not suggest significant variation or flexibility that would indicate a lack of a dominant order.

**Conclusion:** SVO",svo,svo
Seme,"### Reasoning:

Based on the provided paragraphs, the dominant word order in the language Seme can be determined as follows:

1. **Paragraph 1**: Discusses OV word order in Siamou, indicating that VO word order is not permitted and presenting an example of SOV order.
2. **Paragraph 2**: Explicitly states that the basic word order of Siamou clauses is S (Particle) O V.
3. **Paragraph 3**: Mentions that head-final order (SOV) is the most prevalent surface order in Siamou.
4. **Paragraph 4**: Discusses SVO characteristics in Kru languages but notes that Siamou has exclusive SOV word order.
5. **Paragraph 8**: Reiterates that Siamou sentences always have surface SOV word order.
6. **Paragraph 9**: Confirms that Siamou does not display any alternation in word order and consistently has S (Part) OV word order.
7. **Paragraph 14**: States that Siamou consistently has SOV word order, even though most clauses have some kind of particle.
8. **Paragraph 18**: Summarizes that Siamou has properties consistent with SOV languages, including SOV word order.

From these paragraphs, it is clear that the dominant word order in Siamou (and by extension, Seme, if they are the same or closely related languages) is consistently SOV. This conclusion is supported by multiple explicit statements and examples provided in the grammar.

### Conclusion:
SOV",sov,sov
Tima,"Based on the provided paragraphs, the dominant word order in Tima can be determined as follows:

1. **Reasoning:**
   - **Paragraph 2** mentions that the word order concerning a specific type of passive is SVO.
   - **Paragraph 6** explicitly states that the active word order of the sentence in Tima is SVO.
   - **Paragraph 7** provides an example where the word order is SVO: ""uŋ-k-umun-dʌy-ana"" (I found/saw cows).
   - **Paragraph 5** and **Paragraph 13** discuss the placement of pronominal markers and object markers in relation to the verb, which indirectly supports the SVO structure by showing the typical positions of subjects and objects around the verb.
   - **Paragraph 1** and **Paragraph 8** discuss the verb structure and head-marking characteristics of Tima, but do not directly address the dominant word order.

The consistent mention of SVO order in active sentences and the examples provided support the conclusion that SVO is the dominant word order in Tima.

2. **Conclusion:** SVO",svo,svo
!Xun (Ekoka),"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of !Xun (Ekoka), we can analyze the dominant word order by examining the examples and descriptions given.

1. **Paragraph 1** mentions the SOV order explicitly: ""There are various alternative word orders, in particular subject—object—verb (SOV; see be-229The clauseW24.ha ma di (a) mi ké Nl TOP teach -T IsG TR ‘He teaches me the !Xun language.’""

2. **Paragraph 2** provides a table indicating that the basic word order is SVO: ""As table 7-1 shows, the basic word order is subject—verb—object (SVO), irrespective of whether pronominal or nominal participants are involved.""

3. **Paragraph 3** states that while the basic word order is SVO, there is also an SOV structure: ""While the basic word order is SVO, there is a second word order structure in all dialects, namely SOV, when specific matrix verbs taking either nominal or verbal complements are involved.""

4. **Paragraph 4** emphasizes the importance of word order for case differentiation and mentions that some verbs allow for a reversal of subject and complement: ""Since there are no case inflections, word order is important for case differentiation. Still, in many instances, case functions are marked neither by word order nor by any other formal means but have to be derived from the semantic context of the utterance.""

5. **Paragraph 7** indicates that the object follows the verb: ""What is common to all dialects is that TAM (tense—aspect-modality) markers and negation are placed between subject and verb, that the object follows the verb, and that the question marker is placed before the verb phrase.""

6. **Paragraph 11** mentions the SOV construction explicitly: ""Kohler (1973: 63) says that when transitive verbs are used in E2, the object is expressed even if this is not required by the context, as in the following example: = nllé6(-a) teach ‘[He] lied to him [the hyena] and [the hyena] just stood there.’""

7. **Paragraph 15** provides an example of SOV order: ""Subject to the SOV word order constraint, e.g., WImf. Isc-PRG stay-a ‘I stay at home.’ (Heikkinen 1987: 50)""

8. **Paragraph 19** discusses the serialization of verbs and indicates that the object follows the verb: ""The two verbs may not be separately marked for tense—aspect, nor may they take separate adverbial modifiers.""

From the analysis, it is clear that both SVO and SOV orders are mentioned frequently. However, the grammar explicitly states that the basic word order is SVO, and SOV appears to be used in specific contexts, particularly with certain matrix verbs and in narrative discourse.

### Conclusion:
**SVO**",svo,svo
Katcha,"### Reasoning:

Based on the provided paragraphs from the descriptive grammar of Katcha, we can derive the dominant word order by examining the syntactic structures and examples given.

1. **Paragraph 1** explicitly states: ""That it is left on the external argument node reflects the fact that Katcha basic word order is either SVO or VSO."" This indicates that Katcha primarily uses either SVO or VSO word order.

2. **Paragraph 2** discusses passive constructions but does not provide direct evidence about the dominant word order in active declarative sentences.

3. **Paragraph 3** and **Paragraph 4** focus on case markers and relative clauses, respectively, without providing direct evidence about the dominant word order.

4. **Paragraph 5** and **Paragraph 6** discuss locative adverbs and pronouns, respectively, without providing direct evidence about the dominant word order.

5. **Paragraph 7** and **Paragraph 8** discuss verb extensions and applicatives, respectively, without providing direct evidence about the dominant word order.

6. **Paragraph 9** and **Paragraph 10** discuss theoretical analyses and nominal modifiers, respectively, without providing direct evidence about the dominant word order.

7. **Paragraph 11** and **Paragraph 12** discuss applicatives and verb extensions, respectively, without providing direct evidence about the dominant word order.

8. **Paragraph 13** and **Paragraph 14** discuss verb extensions and applicatives, respectively, without providing direct evidence about the dominant word order.

9. **Paragraph 15** and **Paragraph 16** discuss relative clauses and nominal modifiers, respectively, without providing direct evidence about the dominant word order.

10. **Paragraph 17** and **Paragraph 18** discuss relative clauses and applicatives, respectively, without providing direct evidence about the dominant word order.

11. **Paragraph 19** and **Paragraph 20** discuss verb extensions and nominal modifiers, respectively, without providing direct evidence about the dominant word order.

Given the explicit statement in Paragraph 1 that Katcha's basic word order is either SVO or VSO, and the lack of contradictory evidence in the other paragraphs, we can conclude that Katcha has a dominant word order of either SVO or VSO.

### Conclusion:
SVO or VSO",no dominant order,svo
